model,benchmark,lang,shot,accuracy,sd,runs
xglm-564M,xcopa,sw,0,53.0,,1
xglm-564M,xcopa,sw,4,54.879999999999995,0.8318653737234183,5
xglm-564M,xcopa,ta,0,53.4,,1
xglm-564M,xcopa,ta,4,52.760000000000005,0.7127411872482179,5
xglm-564M,xcopa,th,0,52.0,,1
xglm-564M,xcopa,th,4,51.56,1.409964538561166,5
xglm-564M,xcopa,tr,0,52.0,,1
xglm-564M,xcopa,tr,4,51.0,0.7874007874011819,5
xglm-564M,xcopa,vi,0,52.8,,1
xglm-564M,xcopa,vi,4,51.720000000000006,0.6418722614352468,5
xglm-564M,xcopa,zh,0,51.0,,1
xglm-564M,xcopa,zh,4,52.279999999999994,0.8074651695274553,5
xglm-564M,xsc,ar,0,57.0,,1
xglm-564M,xsc,ar,4,55.64,0.4774934554525331,5
xglm-564M,xsc,es,0,61.2,,1
xglm-564M,xsc,es,4,58.239999999999995,0.7402702209328693,5
xglm-564M,xsc,eu,0,58.4,,1
xglm-564M,xsc,eu,4,57.879999999999995,0.5932958789676519,5
xglm-564M,xsc,hi,0,58.2,,1
xglm-564M,xsc,hi,4,57.160000000000004,0.4774934554525317,5
xglm-564M,xsc,id,0,59.0,,1
xglm-564M,xsc,id,4,58.160000000000004,0.7127411872482169,5
xglm-564M,xsc,my,0,54.4,,1
xglm-564M,xsc,my,4,54.120000000000005,0.17888543819998481,5
xglm-564M,xsc,ru,0,63.8,,1
xglm-564M,xsc,ru,4,61.4,0.6782329983125259,5
xglm-564M,xsc,sw,0,57.6,,1
xglm-564M,xsc,sw,4,57.120000000000005,1.2132600710482477,5
xglm-564M,xsc,te,0,61.4,,1
xglm-564M,xsc,te,4,62.08,1.2617448236470017,5
xglm-564M,xsc,zh,0,60.4,,1
xglm-564M,xsc,zh,4,59.44,0.40987803063838263,5
xglm-7.5B,encopa,en,0,71.0,,1
xglm-7.5B,encopa,en,4,68.0,1.4142135623730945,5
xglm-7.5B,xcopa,et,0,56.4,,1
xglm-7.5B,xcopa,et,4,59.4,0.5830951894845324,5
xglm-7.5B,xcopa,ht,0,57.8,,1
xglm-7.5B,xcopa,ht,4,57.839999999999996,0.8414273587185035,5
xglm-7.5B,xcopa,id,0,64.6,,1
xglm-7.5B,xcopa,id,4,64.0,0.9486832980505138,5
xglm-7.5B,xcopa,it,0,59.4,,1
xglm-7.5B,xcopa,it,4,62.8,1.0198039027185557,5
xglm-7.5B,xcopa,qu,0,47.2,,1
xglm-7.5B,xcopa,qu,4,48.6,1.280624847486572,5
xglm-7.5B,xcopa,sw,0,57.4,,1
xglm-7.5B,xcopa,sw,4,60.720000000000006,0.3033150177620598,5
xglm-7.5B,xcopa,ta,0,58.0,,1
xglm-7.5B,xcopa,ta,4,57.56,0.9099450532861859,5
xglm-7.5B,xcopa,th,0,54.2,,1
xglm-7.5B,xcopa,th,4,58.52,0.4147288270665549,5
xglm-7.5B,xcopa,tr,0,54.8,,1
xglm-7.5B,xcopa,tr,4,56.0,1.1045361017187276,5
xglm-7.5B,xcopa,vi,0,59.0,,1
xglm-7.5B,xcopa,vi,4,62.48,1.6828547174370123,5
xglm-7.5B,xcopa,zh,0,60.4,,1
xglm-7.5B,xcopa,zh,4,60.760000000000005,1.3296616110875727,5
xglm-7.5B,xsc,ar,0,62.8,,1
xglm-7.5B,xsc,ar,4,62.6,0.5477225575051687,5
xglm-7.5B,xsc,es,0,68.4,,1
xglm-7.5B,xsc,es,4,66.48,1.171324037147707,5
xglm-7.5B,xsc,eu,0,63.8,,1
xglm-7.5B,xsc,eu,4,62.64,1.1081516141756054,5
xglm-7.5B,xsc,hi,0,64.2,,1
xglm-7.5B,xsc,hi,4,60.64,0.9528903399657275,5
xglm-7.5B,xsc,id,0,68.4,,1
xglm-7.5B,xsc,id,4,67.67999999999999,1.118928058455944,5
xglm-7.5B,xsc,my,0,61.2,,1
xglm-7.5B,xsc,my,4,58.52,0.7293833011524202,5
xglm-7.5B,xsc,ru,0,72.4,,1
xglm-7.5B,xsc,ru,4,71.32000000000001,1.1454256850621118,5
xglm-7.5B,xsc,sw,0,65.8,,1
xglm-7.5B,xsc,sw,4,66.92,0.8074651695274551,5
xglm-7.5B,xsc,te,0,65.8,,1
xglm-7.5B,xsc,te,4,64.88,0.7563068160475547,5
xglm-7.5B,xsc,zh,0,70.2,,1
xglm-7.5B,xsc,zh,4,69.08000000000001,1.2853015210447742,5
